Ignition-Event Count,Time Cue Number,Ignition Seconds,Number Of Devices,Unused1,Unused2,Chain Identifier,Lockout Identifier,Device Delay,Prefire Delay,Item Name,Caliber,Category,Angles,Position Name,Position Distance (m),Module Type,Module Address,Slat Address,Pin Address,Unused4,Notes,Product ID,Mfg And Mfg ID,Unique ID,Location Primary,Location Secondary,Ignition Time*,Device Ignition Time*,Effect Time*,Mortar Caliber,Track Identifier
54,54,973,22,,Sassy,,,0,0,Sassy,"1.5""",Cake,|,Pos-01,112.44,Default,1,,12,,,,,http://www.finalefireworks.com/api/fireworks/1000153,,,12:16:13 AM,12:16:15 AM,12:16:15 AM,,
55,55,990,23,,Rack (H),,,0,0,Rack (H),"1.5""",Shells,|,Pos-02,113.44,Default,2,,11,,,,,http://www.finalefireworks.com/api/fireworks/1000154,,,12:16:30 AM,12:16:30 AM,12:16:30 AM,,
56,56,998,24,,Gorilla Warfare,,,0,0,Gorilla Warfare,"1.5""",Cake,|,Pos-01,114.44,Default,1,,13,,,,,http://www.finalefireworks.com/api/fireworks/1000155,,,12:16:38 AM,12:16:40 AM,12:16:40 AM,,
57,57,1008,25,,Guns for hire,,,0,0,Guns for hire,"1.5""",Cake,|,Pos-02,115.44,Default,2,,12,,,,,http://www.finalefireworks.com/api/fireworks/1000156,,,12:16:48 AM,12:16:50 AM,12:16:50 AM,,
58,58,1013,26,,Raikeo JLP2363,,,0,0,Raikeo JLP2363,"1.5""",Cake,|,Pos-01,116.44,Default,1,,14,,,,,http://www.finalefireworks.com/api/fireworks/1000157,,,12:16:53 AM,12:16:55 AM,12:16:55 AM,,
59,59,1026,27,,Rack (H),,,0,0,Rack (H),"1.5""",Shells,|,Pos-02,117.44,Default,2,,13,,,,,http://www.finalefireworks.com/api/fireworks/1000158,,,12:17:06 AM,12:17:06 AM,12:17:06 AM,,
60,60,1028,28,,Shredder,,,0,0,Shredder,"1.5""",Cake,|,Pos-01,118.44,Default,1,,15,,,,,http://www.finalefireworks.com/api/fireworks/1000159,,,12:17:08 AM,12:17:10 AM,12:17:10 AM,,
61,61,1058,29,,Raikeo JLP2339,,,0,0,Raikeo JLP2339,"1.5""",Cake,|,Pos-02,119.44,Default,2,,14,,,,,http://www.finalefireworks.com/api/fireworks/1000160,,,12:17:38 AM,12:17:40 AM,12:17:40 AM,,
62,62,1063,30,,100 Shot,,,0,0,100 Shot,"1.5""",Cake,|,Pos-01,120.44,Default,1,,16,,,,,http://www.finalefireworks.com/api/fireworks/1000161,,,12:17:43 AM,12:17:45 AM,12:17:45 AM,,
63,63,1078,31,,Infraction,,,0,0,Infraction,"1.5""",Cake,|,Pos-02,121.44,Default,2,,15,,,,,http://www.finalefireworks.com/api/fireworks/1000162,,,12:17:58 AM,12:18:00 AM,12:18:00 AM,,
64,64,1085,32,,Rack (H),,,0,0,Rack (H),"1.5""",Shells,|,Pos-01,122.44,Default,1,,17,,,,,http://www.finalefireworks.com/api/fireworks/1000163,,,12:18:05 AM,12:18:05 AM,12:18:05 AM,,
65,65,1098,33,,Raikeo - JLP2478,,,0,0,Raikeo - JLP2478,"1.5""",Cake,|,Pos-02,123.44,Default,2,,16,,,,,http://www.finalefireworks.com/api/fireworks/1000164,,,12:18:18 AM,12:18:20 AM,12:18:20 AM,,
66,66,1108,34,,Midnight  ,,,0,0,Midnight  ,"1.5""",Cake,|,Pos-01,124.44,Default,1,,18,,,,,http://www.finalefireworks.com/api/fireworks/1000165,,,12:18:28 AM,12:18:30 AM,12:18:30 AM,,
67,67,1118,35,,Nuclear Sunrise,,,0,0,Nuclear Sunrise,"1.5""",Cake,|,Pos-02,125.44,Default,2,,17,,,,,http://www.finalefireworks.com/api/fireworks/1000166,,,12:18:38 AM,12:18:40 AM,12:18:40 AM,,
